TABLE WeatherFileData_S901G,,,,,,,
ZipCode,County,State,CliZn,EnergyPriceID,WthrStationNum,;,WthrFileEPW
77905,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77950,Aransas County,TX,2A,2,722524,;,USA_TX_Rockport-Aransas.Co.AP.722524_TMY3.epw
77951,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77954,DeWitt County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77957,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77960,Goliad County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77961,Jackson County,TX,2A,2,722555,;,USA_TX_Palacios.Muni.AP.722555_TMY3.epw
77962,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77963,Goliad County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77964,Lavaca County,TX,2A,2,722435,;,USA_TX_Houston-William.P.Hobby.AP.722435_TMY3.epw
77968,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77969,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77970,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77971,Jackson County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77973,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77974,DeWitt County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77975,Lavaca County,TX,2A,2,722536,;,USA_TX_Randolph.AFB.722536_TMY3.epw
77976,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77977,Victoria County,TX,2A,2,722550,;,USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw
77978,Calhoun County,TX,2A,2,722555,;,USA_TX_Palacios.Muni.AP.722555_TMY3.epw
77979,Calhoun County,TX,2A,2,722555,;,USA_TX_Palacios.Muni.AP.722555_TMY3.epw
