//Metal Ins and Framing List,,,,,,,,,
//Save this TAB as MetalInsFrameLayers.csv,,,,,,,,,
TABLE MetalInsFrameLayers,,,,,,,,,
CodeCat,MatList,FrmMat,FrmConfig,FrmDepth,FrmSize,CavityIns,Rvalue,// References 01,Reference 02
//Material Category,Material Name,FramingMaterial,Framing Configuration,Framing Depth,FramingSize,CavityInsulation (R-XX),Assembly R Value (h-ft2.F/Btu),Table 2013 JA4-10,S90.1G-2010
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R24 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,24,19.68,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R25 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,25,20.25,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R30 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,30,23.7,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R35 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,35,26.6,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R38 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,38,28.112,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R40 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,40,29.2,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R45 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,45,31.95,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R50 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,50,34.5,//,Table A9.2A
Other Floor,Floor Steel Joist - 16in24in36in48inOC - R55 ins.,Metal,Floor16in24in36in48inOC,AllSizes,AllSizes,55,36.85,//,Table A9.2A
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R11 ins.,Metal,Roof16inOC,2x4,2x4,11,6.01,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R13 ins.,Metal,Roof16inOC,2x4,2x4,13,6.52,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R15 ins.,Metal,Roof16inOC,2x4,2x4,15,6.96,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x4 - R19 ins.,Metal,Roof16inOC,2x4,2x4,19,6.52,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R11 ins.,Metal,Roof16inOC,2x6,2x6,11,6.39,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R13 ins.,Metal,Roof16inOC,2x6,2x6,13,6.96,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R15 ins.,Metal,Roof16inOC,2x6,2x6,15,8.16,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x6 - R19 ins.,Metal,Roof16inOC,2x6,2x6,19,8.26,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x8 - R19 ins.,Metal,Roof16inOC,2x8,2x8,19,8.68,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x8 - R21 ins.,Metal,Roof16inOC,2x8,2x8,21,9.01,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x10 - R25 ins.,Metal,Roof16inOC,2x10,2x10,25,10.16,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x10 - R30 ins.,Metal,Roof16inOC,2x10,2x10,30,10.92,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x12 - R30 ins.,Metal,Roof16inOC,2x12,2x12,30,11.42,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x12 - R38 ins.,Metal,Roof16inOC,2x12,2x12,38,12.34,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 16inOC - 2x14 - R38 ins.,Metal,Roof16inOC,2x14,2x14,38,12.97,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R11 ins.,Metal,Roof24inOC,2x4,2x4,11,7.27,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R13 ins.,Metal,Roof24inOC,2x4,2x4,13,8.06,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R15 ins.,Metal,Roof24inOC,2x4,2x4,15,8.68,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x4 - R19 ins.,Metal,Roof24inOC,2x4,2x4,19,8.06,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R11 ins.,Metal,Roof24inOC,2x6,2x6,11,7.61,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R13 ins.,Metal,Roof24inOC,2x6,2x6,13,8.36,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R15 ins.,Metal,Roof24inOC,2x6,2x6,15,9.89,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R19 ins.,Metal,Roof24inOC,2x6,2x6,19,10.31,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x8 - R19 ins.,Metal,Roof24inOC,2x8,2x8,19,10.76,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x8 - R21 ins.,Metal,Roof24inOC,2x8,2x8,21,11.42,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x10 - R25 ins.,Metal,Roof24inOC,2x10,2x10,25,12.97,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x10 - R30 ins.,Metal,Roof24inOC,2x10,2x10,30,14.13,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x12 - R30 ins.,Metal,Roof24inOC,2x12,2x12,30,14.65,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x12 - R38 ins.,Metal,Roof24inOC,2x12,2x12,38,16.44,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x14 - R38 ins.,Metal,Roof24inOC,2x14,2x14,38,17.13,// Table 4.2.5,
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R0 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,0,0.91,//,Table A9.2b
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R4 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,4,3.88,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R5 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,5,4.8,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R8 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,8,7.52,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R10 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,10,9.2,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R11 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,11,10.01,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R12 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,12,10.8,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R13 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,13,11.7,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R15 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,15,13.2,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R16 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,16,13.92,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R19 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,19,16.34,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R20 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,20,17,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R21 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,21,17.64,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R24 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,24,19.68,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R25 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,25,20.25,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R30 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,30,23.7,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R35 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,35,26.6,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R38 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,38,28.112,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R40 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,40,29.2,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R45 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,45,31.95,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R50 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,50,34.5,//,Table A9.2A
Metal Building Roof,Roof Steel Joist - 16in24in36in48inOC - R55 ins.,Metal,Roof16in24in36in48inOC,AllSizes,AllSizes,55,36.85,//,Table A9.2A
ENDTABLE,,,,,,,,,
//,,,,,,,,,
