TABLE WeatherFileClimateZone,,,,,,,,,,,,
WthrStationNum,WthrFile,CliZn,Lat,Long,Elevation,DsgnWB,DsgnWBDay,EPWHash,DDYHash,,,
//Weather Station Number,Weather Station Name,Climate Zone (1-16),Latitude (degrees),Longitude (degrees),Elevation (ft),Design WetBulb (F),Design Day Name,(SHA-256),(SHA-256),,SymVals,Old Elevations
722874,LOS-ANGELES-DOWNTOWN_722874,9,34.03,-118.22,269,73.9,JUL,977f159cb66d190a384e46cfa40c2de2068aa72dce729c3032258cc6357ff959,431d4a1d83c13d038998b7118dcec25e0155608a5f30444513e18ebd721bf1fd,//,42,269.0288714
722886,VAN-NUYS_722886,9,34.22,-118.47,768,72.7,AUG,261efc3a3492296dc0617a1b0b7b84dd2e7eea752d51892a242bea60ca6bb14a,2e5d6dd258eb911875faf5f9319d06f2328ec02440cf87b2700bffaae94a005b,//,43,767.7165354
722869,RIVERSIDE_722869,10,33.95,-117.42,840,70.9,Annual,6604682bea719fd680d5b911b6ca89c28c575f3e9f90aa00a61db176b38bcd6c,ca8a1f1dde126463fbc1020802d6d4f49449c7cfb0eb5e038fbf42cea945cb6d,//,44,839.8950131
722860,RIVERSIDE-MARCH-AFB_722860,10,33.88,-117.25,1516,70.7,SEP,2ee8d06a64a94df057ea8022e90c6c612cace4ac9888a3a52f20f6c62eadd73c,fb48a24f1928b79c9c580fcc5290820d02ea37f5545235c01a11fc7ca76196ea,//,45,1515.748031
722899,CHINO_722899,10,33.97,-117.62,650,73.4,AUG,8f98db11cbabc30f9f22e40cef41879079e65c8c14aebb1e296eb915700c8265,d62fafac77af7108ab34417fe69940ee713b3214628775f23fd32811cbb2c9a7,//,46,649.6062992
722926,CAMP-PENDLETON_722926,10,33.28,-117.33,72,73.0,AUG,d7543f691c85a07ff28c580c89ccef2e8cad8f9a30eb0975cc5211cde80d37c6,352033f8326e84aadf195359816dd2cc55908fc1636a3710089605cfd775605d,//,47,72.17847769
725920,REDDING_725920,11,40.52,-122.32,502,72.1,AUG,72ebaff57f35bde7eb630411eda1cc8eec02b18298d56505bb31602339179df7,2d7284ea3f73b5e7adec3c5d9037c18f3e975627733ff9c7bcbd2e21b040d6ad,//,48,501.9685039
724838,YUBA-CO_724838,11,39.1,-121.57,62,73.0,JUL,5297d69e8626a5359e8a846a858de9c35ff098cd478993ef83cc9148b096d9db,b6b8de99325e1d7be309f1724f5ceb34ef247e7f95df4334c4d57f18364f4938,//,49,62.33595801
725910,RED-BLUFF_725910,11,40.13,-122.25,348,72.7,AUG,ef87cc662e5e784ebbea1b11e63ed75582d708c3c53746530bbf1f349a113abb,3301afd9151cd2a2a761435f87d4e8343fdc55d305a48d07aace9c5bb0b7f86f,//,50,347.7690289
724837,MARYSVILLE-BEALE-AFB_724837,11,39.12,-121.42,125,75.0,JUL,b1849877f873cd8321369a94ab3ef2e64de2956b2a4a3928a02213a374c5c659,59248a3b59458060b666d473535391c6b8fa5c3b0b9c949bd00961286310bed8,//,51,124.671916
724927,LIVERMORE_724927,12,37.7,-121.82,397,71.2,JUL,261609ce104f51ececef68dea03b9f0d29b2d70de77a95e18bf53521d0562401,91a05eef47cf16cf6ccb5e42d38af617447a2cef3c3437967da4baf6e91fcbe0,//,52,396.9816273
724936,CONCORD_724936,12,38,-122.03,23,69.8,JUL,1b612989613b1edd841b02d9596f0d1b0d4899250d162cf67cce152e238e5cf3,ab5ecc55b2162c4b58c0f930ff70f5acd915c23f38ac81e1412af5b9341193b7,//,53,22.96587927
