,,GlazingTint,FenestrationPanes,SHGC,VT,SHGC,VT,SHGC,VT,SHGC,VT,SHGC,VT,,;,Glazing Type,,,,,,,,,,,
,,FenestrationFraming=,,AluminumWithoutThermalBreak,AluminumWithoutThermalBreak,AluminumWithThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,Wood_Vinyl,StructuralGlazing,StructuralGlazing,,;,,,,,,,,,,,,
,,ClearGlazing,ID-46: QuadrupleGlazing_1/4in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.41,0.48,0.37,0.48,0.33,0.46,0.33,0.46,0.41,0.48,,;,"Quadruple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-47: QuadrupleGlazing_1/2in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.41,0.48,0.37,0.48,0.33,0.46,0.33,0.46,0.41,0.48,,;,"Quadruple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
,,ClearGlazing,ID-48: QuadrupleGlazing_1/4in_KryptonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.41,0.48,0.37,0.48,0.33,0.46,0.33,0.46,0.41,0.48,,;,"Quadruple Glazing, E= 0.10 on surfaces 3 and 5",,,,,,,,,,,
;,,ClearGlazing,,0.65,0.81,0.65,0.81,0.65,0.81,0.65,0.81,0.65,0.81,,;,"Quadruple Glazing, acrylic/polycarbonate",,,,,,,,,,,
,,TintedGlazing,ID-1: SingleGlazing_1/8in_Glass,0.70,0.58,0.66,0.58,0.62,0.56,0.62,0.56,0.70,0.58,,;,"Single glazing, 1/8 in. glass",,,,,,,,,,,
;,,TintedGlazing,,0.61,0.45,0.56,0.45,0.52,0.44,0.52,0.44,0.61,0.45,,;,"Single glazing, 1/4 in. glass",,,,,,,,,,,
,,TintedGlazing,ID-2: SingleGlazing_1/8in_Acrylic_Polcarb,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,,;,"Single glazing, acrylic/polycarbonate",,,,,,,,,,,
,,TintedGlazing,ID-3: SingleGlazing_1/4in_Acrylic_Polcarb,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,,;,"Single glazing, acrylic/polycarbonate",,,,,,,,,,,
,,TintedGlazing,ID-4: DoubleGlazing_1/4in_AirSpace,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-5: DoubleGlazing_1/2in_AirSpace,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-6: DoubleGlazing_1/4in_ArgonSpace,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-7: DoubleGlazing_1/2in_ArgonSpace,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-8: DoubleGlazing_1/4in_AirSpace_e=0.60 on surface 2 or 3,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-9: DoubleGlazing_1/2in_AirSpace_e=0.60 on surface 2 or 3,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-10: DoubleGlazing_1/4in_ArgonSpace_e=0.60 on surface 2 or 3,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-11: DoubleGlazing_1/2in_ArgonSpace_e=0.60 on surface 2 or 3,0.50,0.40,0.46,0.40,0.42,0.39,0.42,0.39,0.50,0.40,,;,Double glazing,,,,,,,,,,,
,,TintedGlazing,ID-12: DoubleGlazing_1/4in_AirSpace_e=0.40 on surface 2 or 3,0.59,0.50,0.55,0.50,0.50,0.48,0.50,0.48,0.59,0.50,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-13: DoubleGlazing_1/2in_AirSpace_e=0.40 on surface 2 or 3,0.59,0.50,0.55,0.50,0.50,0.48,0.50,0.48,0.59,0.50,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-14: DoubleGlazing_1/4in_ArgonSpace_e=0.40 on surface 2 or 3,0.59,0.50,0.55,0.50,0.50,0.48,0.50,0.48,0.59,0.50,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-15: DoubleGlazing_1/2in_ArgonSpace_e=0.40 on surface 2 or 3,0.59,0.50,0.55,0.50,0.50,0.48,0.50,0.48,0.59,0.50,,;,"Double glazing, E = 0.40 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-16: DoubleGlazing_1/4in_AirSpace_e=0.20 on surface 2 or 3,0.47,0.37,0.43,0.37,0.39,0.36,0.39,0.36,0.47,0.37,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-17: DoubleGlazing_1/2in_AirSpace_e=0.20 on surface 2 or 3,0.47,0.37,0.43,0.37,0.39,0.36,0.39,0.36,0.47,0.37,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-18: DoubleGlazing_1/4in_ArgonSpace_e=0.20 on surface 2 or 3,0.47,0.37,0.43,0.37,0.39,0.36,0.39,0.36,0.47,0.37,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-19: DoubleGlazing_1/2in_ArgonSpace_e=0.20 on surface 2 or 3,0.47,0.37,0.43,0.37,0.39,0.36,0.39,0.36,0.47,0.37,,;,"Double glazing, E = 0.20 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-20: DoubleGlazing_1/4in_AirSpace_e=0.10 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-21: DoubleGlazing_1/2in_AirSpace_e=0.10 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-22: DoubleGlazing_1/4in_ArgonSpace_e=0.10 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-23: DoubleGlazing_1/2in_ArgonSpace_e=0.10 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
;,,TintedGlazing,,0.37,0.25,0.37,0.25,0.37,0.25,0.37,0.25,0.37,0.25,,;,"Double glazing, acrylic/polycarbonate",,,,,,,,,,,
,,TintedGlazing,ID-24: DoubleGlazing_1/4in_AirSpace_e=0.05 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-25: DoubleGlazing_1/2in_AirSpace_e=0.05 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-26: DoubleGlazing_1/4in_ArgonSpace_e=0.05 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-27: DoubleGlazing_1/2in_ArgonSpace_e=0.05 on surface 2 or 3,0.43,0.38,0.39,0.38,0.35,0.37,0.35,0.37,0.43,0.38,,;,"Double glazing, E = 0.10 on surface 2 or 3",,,,,,,,,,,
,,TintedGlazing,ID-28: TripleGlazing_1/4in_AirSpaces,0.42,0.22,0.37,0.22,0.34,0.21,0.34,0.21,0.42,0.22,,;,Triple Glazing,,,,,,,,,,,
,,TintedGlazing,ID-29: TripleGlazing_1/2in_AirSpaces,0.42,0.22,0.37,0.22,0.34,0.21,0.34,0.21,0.42,0.22,,;,Triple Glazing,,,,,,,,,,,
,,TintedGlazing,ID-30: TripleGlazing_1/4in_ArgonSpaces,0.42,0.22,0.37,0.22,0.34,0.21,0.34,0.21,0.42,0.22,,;,Triple Glazing,,,,,,,,,,,
,,TintedGlazing,ID-31: TripleGlazing_1/2in_ArgonSpaces,0.42,0.22,0.37,0.22,0.34,0.21,0.34,0.21,0.42,0.22,,;,Triple Glazing,,,,,,,,,,,
;,,TintedGlazing,,0.53,0.45,0.49,0.45,0.45,0.44,0.45,0.44,0.53,0.45,,;,"Triple Glazing, E= 0.40 on surface 2,3,4, or 5",,,,,,,,,,,
,,TintedGlazing,"ID-32: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2,3,4 or 5",0.42,0.33,0.38,0.33,0.35,0.32,0.35,0.32,0.42,0.33,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,TintedGlazing,"ID-33: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2,3,4 or 5",0.42,0.33,0.38,0.33,0.35,0.32,0.35,0.32,0.42,0.33,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,TintedGlazing,"ID-34: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",0.42,0.33,0.38,0.33,0.35,0.32,0.35,0.32,0.42,0.33,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
,,TintedGlazing,"ID-35: TripleGlazing_1/2in_ArgonSpaces_e=0.20 on surface 2,3,4 or 5",0.42,0.33,0.38,0.33,0.35,0.32,0.35,0.32,0.42,0.33,,;,"Triple Glazing, E= 0.20 on surface 2,3,4, or 5",,,,,,,,,,,
;,,TintedGlazing,,0.39,0.34,0.35,0.34,0.31,0.33,0.31,0.33,0.39,0.34,,;,"Triple Glazing, E= 0.10 on surface 2,3,4, or 5",,,,,,,,,,,
;,,TintedGlazing,,0.51,0.43,0.47,0.43,0.43,0.42,0.43,0.42,0.51,0.43,,;,"Triple Glazing, E= 0.40 on surfaces 3 and 5",,,,,,,,,,,
,,TintedGlazing,ID-36: TripleGlazing_1/4in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.40,0.31,0.36,0.31,0.32,0.29,0.32,0.29,0.40,0.31,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,TintedGlazing,ID-37: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.40,0.31,0.36,0.31,0.32,0.29,0.32,0.29,0.40,0.31,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
,,TintedGlazing,ID-38: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.40,0.31,0.36,0.31,0.32,0.29,0.32,0.29,0.40,0.31,,;,"Triple Glazing, E= 0.20 on surfaces 3 and 5",,,,,,,,,,,
