;,ASHRAE 90.1-2010 PRM Ruleset,,,,,,,,,,,
;,,,,,,,,,,,,
;,TABLE NAME:,,,,,,,,,,,
;,,DefaultSkyltUFactors,,,,,,,,,,
;,,,,,,,,,,,,
;,MODIFICATION HISTORY:,,,,,,,,,,,
;,,Date,Purpose,,,,,,,,,
;,,9/22/2014,90.1 2012 Update,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Reference:,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Notes:,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,Syntax Examples:,,,,,,,,,,,
;,,"BaseSkylightFenPerformance:UFactor(""Fenestration Panes"",FenPanes,""Skylight Curb"",SkylightCurb,""FrameType"",FenFrm)",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
; ####################################  Start of Table ####################################,,,,,,,,,,,,
,TABLE DefaultSkyltUFactors,,,,,,,,,,,
,,FenestrationPanes,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor,UFactor
,,SkylightCurb=,CurbMounted,CurbMounted,CurbMounted,CurbMounted,CurbMounted,DeckMounted,DeckMounted,DeckMounted,DeckMounted,DeckMounted
,,FenestrationFraming=,AluminumWithoutThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,StructuralGlazing,AluminumWithoutThermalBreak,AluminumWithThermalBreak,ReinforcedVinyl_AluminumCladWood,Wood_Vinyl,StructuralGlazing
,,ID-37: TripleGlazing_1/2in_AirSpaces_e=0.20 on surface 2 or 3 and 4 or 5,1.01,0.78,0.73,0.53,-999,0.54,0.43,-999,-999,0.37
,,ID-38: TripleGlazing_1/4in_ArgonSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.99,0.75,0.7,0.5,-999,0.51,0.4,-999,-999,0.35
,,ID-39: TripleGlazing_1/2in_ArgonSpaces_e=0.20 on surface 2 or 3 and 4 or 5,0.97,0.74,0.69,0.49,-999,0.5,0.39,-999,-999,0.33
,,ID-40: TripleGlazing_1/4in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,1.01,0.78,0.73,0.53,-999,0.54,0.43,-999,-999,0.37
,,ID-41: TripleGlazing_1/2in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.99,0.76,0.71,0.51,-999,0.52,0.41,-999,-999,0.36
,,ID-42: TripleGlazing_1/4in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.96,0.73,0.68,0.48,-999,0.49,0.38,-999,-999,0.32
,,ID-43: TripleGlazing_1/2in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.95,0.72,0.67,0.47,-999,0.48,0.37,-999,-999,0.31
,,ID-44: QuadrupleGlazing_1/4in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.97,0.74,0.69,0.49,-999,0.5,0.39,-999,-999,0.33
,,ID-45: QuadrupleGlazing_1/2in_AirSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.94,0.71,0.66,0.46,-999,0.47,0.36,-999,-999,0.3
,,ID-46: QuadrupleGlazing_1/4in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.93,0.7,0.65,0.45,-999,0.46,0.35,-999,-999,0.3
,,ID-47: QuadrupleGlazing_1/2in_ArgonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.91,0.68,0.63,0.43,-999,0.44,0.33,-999,-999,0.28
,,ID-48: QuadrupleGlazing_1/4in_KryptonSpaces_e=0.10 on surface 2 or 3 and 4 or 5,0.88,0.65,0.6,0.4,-999,0.42,0.31,-999,-999,0.25
,ENDTABLE,,,,,,,,,,,
;,,#NAME?,,,,,,,,,,
