TABLE WeatherFileClimateZone_S901G,,,,,,,,
WthrStationNum,State,DsgnWB,WthrFileEPW,WthrFile,DesignDayFileDDY,HeatingDesignDay,CoolingDesignDay,LocationURL
702590,AK,71,USA_AK_Kenai.Muni.AP.702590_TMY3.epw,USA_AK_Kenai.Muni.AP.702590,USA_AK_Kenai.Muni.AP.702590_TMY3.ddy,USA AK Kenai Muni AP Ann Htg 99 6% Condns DB,USA AK Kenai Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Kenai.Muni.AP.702590_TMY3.zip
703950,AK,71,USA_AK_Ketchikan.Intl.AP.703950_TMY3.epw,USA_AK_Ketchikan.Intl.AP.703950,USA_AK_Ketchikan.Intl.AP.703950_TMY3.ddy,USA AK Ketchikan Intl AP Ann Htg 99 6% Condns DB,USA AK Ketchikan Intl AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Ketchikan.Intl.AP.703950_TMY3.zip
703260,AK,71,USA_AK_King.Salmon.AP.703260_TMY3.epw,USA_AK_King.Salmon.AP.703260,USA_AK_King.Salmon.AP.703260_TMY3.ddy,USA AK King Salmon AP Ann Htg 99 6% Condns DB,USA AK King Salmon AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_King.Salmon.AP.703260_TMY3.zip
703500,AK,71,USA_AK_Kodiak.AP.703500_TMY3.epw,USA_AK_Kodiak.AP.703500,USA_AK_Kodiak.AP.703500_TMY3.ddy,USA AK Kodiak AP Ann Htg 99 6% Condns DB,USA AK Kodiak AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Kodiak.AP.703500_TMY3.zip
701330,AK,71,USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.epw,USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330,USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.ddy,USA AK Kotzebue Ralph Wein Mem AP Ann Htg 99 6% Condns DB,USA AK Kotzebue Ralph Wein Mem AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Kotzebue-Ralph.Wein.Mem.AP.701330_TMY3.zip
702310,AK,71,USA_AK_McGrath.AP.702310_TMY3.epw,USA_AK_McGrath.AP.702310,USA_AK_McGrath.AP.702310_TMY3.ddy,USA AK McGrath AP Ann Htg 99 6% Condns DB,USA AK McGrath AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_McGrath.AP.702310_TMY3.zip
702185,AK,71,USA_AK_Mekoryuk.702185_TMY3.epw,USA_AK_Mekoryuk.702185,USA_AK_Mekoryuk.702185_TMY3.ddy,USA AK Mekoryuk Ann Htg 99 6% Condns DB,USA AK Mekoryuk Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Mekoryuk.702185_TMY3.zip
702600,AK,71,USA_AK_Nenana.Muni.AP.702600_TMY3.epw,USA_AK_Nenana.Muni.AP.702600,USA_AK_Nenana.Muni.AP.702600_TMY3.ddy,USA AK Nenana Muni AP Ann Htg 99 6% Condns DB,USA AK Nenana Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Nenana.Muni.AP.702600_TMY3.zip
702000,AK,71,USA_AK_Nome.Muni.AP.702000_TMY3.epw,USA_AK_Nome.Muni.AP.702000,USA_AK_Nome.Muni.AP.702000_TMY3.ddy,USA AK Nome Muni AP Ann Htg 99 6% Condns DB,USA AK Nome Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Nome.Muni.AP.702000_TMY3.zip
702910,AK,71,USA_AK_Northway.AP.702910_TMY3.epw,USA_AK_Northway.AP.702910,USA_AK_Northway.AP.702910_TMY3.ddy,USA AK Northway AP Ann Htg 99 6% Condns DB,USA AK Northway AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Northway.AP.702910_TMY3.zip
702740,AK,71,USA_AK_Palmer.Muni.AP.702740_TMY3.epw,USA_AK_Palmer.Muni.AP.702740,USA_AK_Palmer.Muni.AP.702740_TMY3.ddy,USA AK Palmer Muni AP Ann Htg 99 6% Condns DB,USA AK Palmer Muni AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Palmer.Muni.AP.702740_TMY3.zip
703860,AK,71,USA_AK_Petersburg.703860_TMY3.epw,USA_AK_Petersburg.703860,USA_AK_Petersburg.703860_TMY3.ddy,USA AK Petersburg Ann Htg 99 6% Condns DB,USA AK Petersburg Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Petersburg.703860_TMY3.zip
701043,AK,71,USA_AK_Point.Hope.AWOS.701043_TMY3.epw,USA_AK_Point.Hope.AWOS.701043,USA_AK_Point.Hope.AWOS.701043_TMY3.ddy,USA AK Point Hope AWOS Ann Htg 99 6% Condns DB,USA AK Point Hope AWOS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Point.Hope.AWOS.701043_TMY3.zip
703330,AK,71,USA_AK_Port.Heiden.703330_TMY3.epw,USA_AK_Port.Heiden.703330,USA_AK_Port.Heiden.703330_TMY3.ddy,USA AK Port Heiden Ann Htg 99 6% Condns DB,USA AK Port Heiden Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Port.Heiden.703330_TMY3.zip
702005,AK,71,USA_AK_Saint.Marys.AWOS.702005_TMY3.epw,USA_AK_Saint.Marys.AWOS.702005,USA_AK_Saint.Marys.AWOS.702005_TMY3.ddy,USA AK Saint Marys AWOS Ann Htg 99 6% Condns DB,USA AK Saint Marys AWOS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Saint.Marys.AWOS.702005_TMY3.zip
703165,AK,71,USA_AK_Sand.Point.703165_TMY3.epw,USA_AK_Sand.Point.703165,USA_AK_Sand.Point.703165_TMY3.ddy,USA AK Sand Point Ann Htg 99 6% Condns DB,USA AK Sand Point Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Sand.Point.703165_TMY3.zip
702770,AK,71,USA_AK_Seward.702770_TMY3.epw,USA_AK_Seward.702770,USA_AK_Seward.702770_TMY3.ddy,USA AK Seward Ann Htg 99 6% Condns DB,USA AK Seward Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Seward.702770_TMY3.zip
701195,AK,71,USA_AK_Shishmaref.AWOS.701195_TMY3.epw,USA_AK_Shishmaref.AWOS.701195,USA_AK_Shishmaref.AWOS.701195_TMY3.ddy,USA AK Shishmaref AWOS Ann Htg 99 6% Condns DB,USA AK Shishmaref AWOS Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Shishmaref.AWOS.701195_TMY3.zip
703710,AK,71,USA_AK_Sitka-Japonski.Island.AP.703710_TMY3.epw,USA_AK_Sitka-Japonski.Island.AP.703710,USA_AK_Sitka-Japonski.Island.AP.703710_TMY3.ddy,USA AK Sitka Japonski Island AP Ann Htg 99 6% Condns DB,USA AK Sitka Japonski Island AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Sitka-Japonski.Island.AP.703710_TMY3.zip
703620,AK,71,USA_AK_Skagway.AP.703620_TMY3.epw,USA_AK_Skagway.AP.703620,USA_AK_Skagway.AP.703620_TMY3.ddy,USA AK Skagway AP Ann Htg 99 6% Condns DB,USA AK Skagway AP Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Skagway.AP.703620_TMY3.zip
702595,AK,71,USA_AK_Soldotna.702595_TMY3.epw,USA_AK_Soldotna.702595,USA_AK_Soldotna.702595_TMY3.ddy,USA AK Soldotna Ann Htg 99 6% Condns DB,USA AK Soldotna Ann Clg 1% Condns DB=>MWB,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Soldotna.702595_TMY3.zip
