//Metal Ins and Framing List,,,,,,,,,
//Save this TAB as MetalInsFrameLayers.csv,,,,,,,,,
TABLE MetalInsFrameLayers,,,,,,,,,
CodeCat,MatList,FrmMat,FrmConfig,FrmDepth,FrmSize,CavityIns,Rvalue,// References 01,
//Material Category,Material Name,FramingMaterial,Framing Configuration,Framing Depth,FramingSize,CavityInsulation (R-XX),Assembly R Value (h-ft2.F/Btu),Table 2013 JA4-10,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x6 - R19 ins.,Metal,Roof24inOC,5_5In,2x6,19,10.31,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x8 - R19 ins.,Metal,Roof24inOC,7_25In,2x8,19,10.76,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x8 - R21 ins.,Metal,Roof24inOC,7_25In,2x8,21,11.42,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x10 - R25 ins.,Metal,Roof24inOC,9_25In,2x10,25,12.97,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x10 - R30 ins.,Metal,Roof24inOC,9_25In,2x10,30,14.13,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x12 - R30 ins.,Metal,Roof24inOC,11_25In,2x12,30,14.65,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x12 - R38 ins.,Metal,Roof24inOC,11_25In,2x12,38,16.44,// Table 4.2.5,
Metal Building Roof,Metal Framed Roof - 24inOC - 2x14 - R38 ins.,Metal,Roof24inOC,13_25In,2x14,38,17.13,// Table 4.2.5,
ENDTABLE,,,,,,,,,
//,,,,,,,,,
