TABLE HotSmlS901GElectric070032CoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
GuestRoom402_405_PTHP CoilClg,BaseSys2 CoilClg-55,DirectExpansion,BaseZnSys2-55,GuestRoom402_405 Thermal Zone,5597.946,5840.397,-99996,-99996,11.9,-99996,,
GuestRoom406_408_PTHP CoilClg,BaseSys2 CoilClg-56,DirectExpansion,BaseZnSys2-56,GuestRoom406_408 Thermal Zone,6158.634,6425.368,-99996,-99996,11.9,-99996,,
GuestRoom409_412_PTHP CoilClg,BaseSys2 CoilClg-57,DirectExpansion,BaseZnSys2-57,GuestRoom409_412 Thermal Zone,5590.629,5832.762,-99996,-99996,11.9,-99996,,
GuestRoom413_PTHP CoilClg,BaseSys2 CoilClg-58,DirectExpansion,BaseZnSys2-58,GuestRoom413 Thermal Zone,5803.003,6054.334,-99996,-99996,11.9,-99996,,
GuestRoom414_PTHP CoilClg,BaseSys2 CoilClg-59,DirectExpansion,BaseZnSys2-59,GuestRoom414 Thermal Zone,5535.861,5775.623,-99996,-99996,11.9,-99996,,
GuestRoom415_418_PTHP CoilClg,BaseSys2 CoilClg-60,DirectExpansion,BaseZnSys2-60,GuestRoom415_418 Thermal Zone,5313.707,5543.847,-99996,-99996,11.9,-99996,,
GuestRoom419_PTHP CoilClg,BaseSys2 CoilClg-61,DirectExpansion,BaseZnSys2-61,GuestRoom419 Thermal Zone,5484.061,5721.579,-99996,-99996,11.9,-99996,,
GuestRoom420_423_PTHP CoilClg,BaseSys2 CoilClg-62,DirectExpansion,BaseZnSys2-62,GuestRoom420_423 Thermal Zone,5291.073,5520.232,-99996,-99996,11.9,-99996,,
GuestRoom424_PTHP CoilClg,BaseSys2 CoilClg-63,DirectExpansion,BaseZnSys2-63,GuestRoom424 Thermal Zone,5444.927,5680.75,-99996,-99996,11.9,-99996,,
ENDTABLE,,,,,,,,,,,,
TABLE HotSmlS901GElectric070032CoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
Corridor Flr1_PTHP CoilHtg,BaseSys2 CoilHtg,HeatPump,BaseZnSys2,CorridorFlr1 Thermal Zone,21784.939,20960.037,0,-99996,-99996,,,
Corridor Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg,Resistance,BaseZnSys2,CorridorFlr1 Thermal Zone,22397.463,22397.463,0,-99996,-99996,,,
EmployeeLounge Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-2,HeatPump,BaseZnSys2-2,EmployeeLoungeFlr1 Thermal Zone,3525.635,3391.688,0,-99996,-99996,,,
EmployeeLounge Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-2,Resistance,BaseZnSys2-2,EmployeeLoungeFlr1 Thermal Zone,4634.388,4634.388,0,-99996,-99996,,,
ExerciseCenter Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-3,HeatPump,BaseZnSys2-3,ExerciseCenterFlr1 Thermal Zone,3418.107,3288.287,0,-99996,-99996,,,
ExerciseCenter Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-3,Resistance,BaseZnSys2-3,ExerciseCenterFlr1 Thermal Zone,4461.137,4461.137,0,-99996,-99996,,,
FrontLounge Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-4,HeatPump,BaseZnSys2-4,FrontLoungeFlr1 Thermal Zone,91620.539,88167.094,0,-99996,-99996,,,
FrontLounge Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-4,Resistance,BaseZnSys2-4,FrontLoungeFlr1 Thermal Zone,136844.109,136844.109,0,-99996,-99996,,,
FrontOffice Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-5,HeatPump,BaseZnSys2-5,FrontOfficeFlr1 Thermal Zone,16027.946,15418.25,0,-99996,-99996,,,
FrontOffice Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-5,Resistance,BaseZnSys2-5,FrontOfficeFlr1 Thermal Zone,17081.463,17081.463,0,-99996,-99996,,,
LaundryRoom Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-6,HeatPump,BaseZnSys2-6,LaundryRoomFlr1 Thermal Zone,23737.607,22832.125,0,-99996,-99996,,,
LaundryRoom Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-6,Resistance,BaseZnSys2-6,LaundryRoomFlr1 Thermal Zone,12882.55,12882.55,0,-99996,-99996,,,
MechanicalRoom Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-7,HeatPump,BaseZnSys2-7,MechanicalRoomFlr1 Thermal Zone,8974.823,8633.375,0,-99996,-99996,,,
MechanicalRoom Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-7,Resistance,BaseZnSys2-7,MechanicalRoomFlr1 Thermal Zone,4401.438,4401.438,0,-99996,-99996,,,
MeetingRoom Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-8,HeatPump,BaseZnSys2-8,MeetingRoomFlr1 Thermal Zone,13095.872,12600.274,0,-99996,-99996,,,
MeetingRoom Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-8,Resistance,BaseZnSys2-8,MeetingRoomFlr1 Thermal Zone,10778.075,10778.075,0,-99996,-99996,,,
FrontStairs Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-9,HeatPump,BaseZnSys2-9,FrontStairsFlr1 Thermal Zone,3682.83,3542.525,0,-99996,-99996,,,
FrontStairs Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-9,Resistance,BaseZnSys2-9,FrontStairsFlr1 Thermal Zone,3670.413,3670.413,0,-99996,-99996,,,
FrontStorage Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-10,HeatPump,BaseZnSys2-10,FrontStorageFlr1 Thermal Zone,1485.528,1428.938,0,-99996,-99996,,,
FrontStorage Flr1_PTHP SuppCoilHtg,BaseSys2 SuppCoilHtg-10,Resistance,BaseZnSys2-10,FrontStorageFlr1 Thermal Zone,1800.038,1800.038,0,-99996,-99996,,,
RearStairs Flr1_PTHP CoilHtg,BaseSys2 CoilHtg-11,HeatPump,BaseZnSys2-11,RearStairsFlr1 Thermal Zone,3283.574,3158.788,0,-99996,-99996,,,
