;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10119,7.6996,2.2317,4.9261,7.6068,2.2317,4.9261,7.6669,2.2317,4.9261,7.6257,2.2317,4.9261,7.6751,2.2317,4.9261,7.5661,2.2532,4.9261,7.7017,2.1896,4.9261,7.4783,2.2532,4.9261,7.4503,2.2532,4.9261,7.4487,2.2532,4.9261,7.6152,2.2317,4.9261,7.6230,2.2317,4.9261,7.6617,2.2317,4.9261,7.5075,2.2532,4.9261,7.5269,2.2532,4.9261,7.8341,2.2532,4.9261
10120,7.6995,2.2317,4.9261,7.6068,2.2317,4.9261,7.6669,2.2317,4.9261,7.6256,2.2317,4.9261,7.6751,2.2317,4.9261,7.5700,2.2532,4.9261,7.7055,2.1896,4.9261,7.4821,2.2532,4.9261,7.4542,2.2532,4.9261,7.4525,2.2532,4.9261,7.6152,2.2317,4.9261,7.6229,2.2317,4.9261,7.6617,2.2317,4.9261,7.5113,2.2532,4.9261,7.5308,2.2532,4.9261,7.8379,2.2532,4.9261
10121,7.6998,2.2317,4.9261,7.6070,2.2317,4.9261,7.6671,2.2317,4.9261,7.6259,2.2317,4.9261,7.6753,2.2317,4.9261,7.5610,2.2532,4.9261,7.6966,2.1896,4.9261,7.4732,2.2532,4.9261,7.4452,2.2532,4.9261,7.4435,2.2532,4.9261,7.6154,2.2317,4.9261,7.6232,2.2317,4.9261,7.6619,2.2317,4.9261,7.5024,2.2532,4.9261,7.5218,2.2532,4.9261,7.8290,2.2532,4.9261
10122,7.6998,2.2317,4.9261,7.6070,2.2317,4.9261,7.6671,2.2317,4.9261,7.6259,2.2317,4.9261,7.6753,2.2317,4.9261,7.5262,2.2532,4.9261,7.6618,2.1896,4.9261,7.4384,2.2532,4.9261,7.4104,2.2532,4.9261,7.4087,2.2532,4.9261,7.6155,2.2317,4.9261,7.6232,2.2317,4.9261,7.6620,2.2317,4.9261,7.4675,2.2532,4.9261,7.4870,2.2532,4.9261,7.7941,2.2532,4.9261
10123,7.6679,2.2317,4.9261,7.5751,2.2317,4.9261,7.6352,2.2317,4.9261,7.5940,2.2317,4.9261,7.6434,2.2317,4.9261,7.4209,2.2532,4.9261,7.5567,2.1896,4.9261,7.3330,2.2532,4.9261,7.3051,2.2532,4.9261,7.3034,2.2532,4.9261,7.5835,2.2317,4.9261,7.5913,2.2317,4.9261,7.6300,2.2317,4.9261,7.3622,2.2532,4.9261,7.3817,2.2532,4.9261,7.6888,2.2532,4.9261
10124,7.6345,2.2317,4.9261,7.5418,2.2317,4.9261,7.6019,2.2317,4.9261,7.5606,2.2317,4.9261,7.6101,2.2317,4.9261,7.3513,2.2532,4.9261,7.4873,2.1896,4.9261,7.2635,2.2532,4.9261,7.2355,2.2532,4.9261,7.2338,2.2532,4.9261,7.5502,2.2317,4.9261,7.5579,2.2317,4.9261,7.5967,2.2317,4.9261,7.2927,2.2532,4.9261,7.3121,2.2532,4.9261,7.6193,2.2532,4.9261
10201,7.3819,2.2317,4.9261,7.2891,2.2317,4.9261,7.3492,2.2317,4.9261,7.3080,2.2317,4.9261,7.3574,2.2317,4.9261,7.0813,2.2532,4.9261,7.2179,2.1896,4.9261,6.9935,2.2532,4.9261,6.9656,2.2532,4.9261,6.9639,2.2532,4.9261,7.2975,2.2317,4.9261,7.3053,2.2317,4.9261,7.3440,2.2317,4.9261,7.0227,2.2532,4.9261,7.0422,2.2532,4.9261,7.3493,2.2532,4.9261
10202,7.3114,2.2317,4.9261,7.2186,2.2317,4.9261,7.2787,2.2317,4.9261,7.2374,2.2317,4.9261,7.2869,2.2317,4.9261,7.0059,2.2532,4.9261,7.1427,2.1896,4.9261,6.9181,2.2532,4.9261,6.8902,2.2532,4.9261,6.8885,2.2532,4.9261,7.2270,2.2317,4.9261,7.2348,2.2317,4.9261,7.2735,2.2317,4.9261,6.9473,2.2532,4.9261,6.9668,2.2532,4.9261,7.2739,2.2532,4.9261
10203,7.2973,2.2317,4.9261,7.2045,2.2317,4.9261,7.2646,2.2317,4.9261,7.2234,2.2317,4.9261,7.2728,2.2317,4.9261,6.9879,2.2532,4.9261,7.1247,2.1896,4.9261,6.9001,2.2532,4.9261,6.8721,2.2532,4.9261,6.8705,2.2532,4.9261,7.2129,2.2317,4.9261,7.2207,2.2317,4.9261,7.2594,2.2317,4.9261,6.9293,2.2532,4.9261,6.9487,2.2532,4.9261,7.2559,2.2532,4.9261
10204,7.3071,2.2317,4.9261,7.2143,2.2317,4.9261,7.2744,2.2317,4.9261,7.2332,2.2317,4.9261,7.2826,2.2317,4.9261,6.9993,2.2532,4.9261,7.1360,2.1896,4.9261,6.9115,2.2532,4.9261,6.8835,2.2532,4.9261,6.8818,2.2532,4.9261,7.2227,2.2317,4.9261,7.2305,2.2317,4.9261,7.2692,2.2317,4.9261,6.9406,2.2532,4.9261,6.9601,2.2532,4.9261,7.2672,2.2532,4.9261
10205,7.3452,2.2317,4.9261,7.2525,2.2317,4.9261,7.3126,2.2317,4.9261,7.2713,2.2317,4.9261,7.3208,2.2317,4.9261,7.0425,2.2532,4.9261,7.1791,2.1896,4.9261,6.9546,2.2532,4.9261,6.9267,2.2532,4.9261,6.9250,2.2532,4.9261,7.2609,2.2317,4.9261,7.2686,2.2317,4.9261,7.3074,2.2317,4.9261,6.9838,2.2532,4.9261,7.0033,2.2532,4.9261,7.3104,2.2532,4.9261
10206,7.4352,2.2317,4.9261,7.3425,2.2317,4.9261,7.4026,2.2317,4.9261,7.3613,2.2317,4.9261,7.4108,2.2317,4.9261,7.1377,2.2532,4.9261,7.2741,2.1896,4.9261,7.0499,2.2532,4.9261,7.0219,2.2532,4.9261,7.0202,2.2532,4.9261,7.3509,2.2317,4.9261,7.3587,2.2317,4.9261,7.3974,2.2317,4.9261,7.0790,2.2532,4.9261,7.0985,2.2532,4.9261,7.4056,2.2532,4.9261
10207,7.4504,2.2317,4.9261,7.3577,2.2317,4.9261,7.4178,2.2317,4.9261,7.3765,2.2317,4.9261,7.4260,2.2317,4.9261,7.2319,2.2532,4.9261,7.3682,2.1896,4.9261,7.1441,2.2532,4.9261,7.1162,2.2532,4.9261,7.1145,2.2532,4.9261,7.3661,2.2317,4.9261,7.3738,2.2317,4.9261,7.4126,2.2317,4.9261,7.1733,2.2532,4.9261,7.1927,2.2532,4.9261,7.4999,2.2532,4.9261
10208,7.4533,2.2317,4.9261,7.3606,2.2317,4.9261,7.4207,2.2317,4.9261,7.3794,2.2317,4.9261,7.4289,2.2317,4.9261,7.2336,2.2532,4.9261,7.3698,2.1896,4.9261,7.1458,2.2532,4.9261,7.1178,2.2532,4.9261,7.1161,2.2532,4.9261,7.3690,2.2317,4.9261,7.3767,2.2317,4.9261,7.4155,2.2317,4.9261,7.1749,2.2532,4.9261,7.1944,2.2532,4.9261,7.5015,2.2532,4.9261
10209,7.4894,2.2317,4.9261,7.3966,2.2317,4.9261,7.4567,2.2317,4.9261,7.4155,2.2317,4.9261,7.4649,2.2317,4.9261,7.1591,2.2532,4.9261,7.2989,2.1896,4.9261,7.0713,2.2532,4.9261,7.0433,2.2532,4.9261,7.0416,2.2532,4.9261,7.4050,2.2317,4.9261,7.4128,2.2317,4.9261,7.4515,2.2317,4.9261,7.1005,2.2532,4.9261,7.1199,2.2532,4.9261,7.4271,2.2532,4.9261
10210,7.4759,2.2317,4.9261,7.3831,2.2317,4.9261,7.4432,2.2317,4.9261,7.4020,2.2317,4.9261,7.4514,2.2317,4.9261,7.0610,2.2532,4.9261,7.2009,2.1896,4.9261,6.9732,2.2532,4.9261,6.9453,2.2532,4.9261,6.9436,2.2532,4.9261,7.3915,2.2317,4.9261,7.3993,2.2317,4.9261,7.4380,2.2317,4.9261,7.0024,2.2532,4.9261,7.0219,2.2532,4.9261,7.3290,2.2532,4.9261
10211,7.4661,2.2317,4.9261,7.3734,2.2317,4.9261,7.4335,2.2317,4.9261,7.3922,2.2317,4.9261,7.4417,2.2317,4.9261,6.9361,2.2532,4.9261,7.0761,2.1896,4.9261,6.8483,2.2532,4.9261,6.8204,2.2532,4.9261,6.8187,2.2532,4.9261,7.3818,2.2317,4.9261,7.3895,2.2317,4.9261,7.4283,2.2317,4.9261,6.8775,2.2532,4.9261,6.8969,2.2532,4.9261,7.2041,2.2532,4.9261
10212,7.4658,2.2317,4.9261,7.3731,2.2317,4.9261,7.4332,2.2317,4.9261,7.3919,2.2317,4.9261,7.4414,2.2317,4.9261,7.1148,2.2532,4.9261,7.2546,2.1896,4.9261,7.0270,2.2532,4.9261,6.9990,2.2532,4.9261,6.9973,2.2532,4.9261,7.3815,2.2317,4.9261,7.3892,2.2317,4.9261,7.4280,2.2317,4.9261,7.0561,2.2532,4.9261,7.0756,2.2532,4.9261,7.3827,2.2532,4.9261
10213,7.4643,2.2317,4.9261,7.3716,2.2317,4.9261,7.4317,2.2317,4.9261,7.3904,2.2317,4.9261,7.4399,2.2317,4.9261,7.1099,2.2532,4.9261,7.2497,2.1896,4.9261,7.0220,2.2532,4.9261,6.9941,2.2532,4.9261,6.9924,2.2532,4.9261,7.3800,2.2317,4.9261,7.3877,2.2317,4.9261,7.4265,2.2317,4.9261,7.0512,2.2532,4.9261,7.0707,2.2532,4.9261,7.3778,2.2532,4.9261
10214,7.4666,2.2317,4.9261,7.3739,2.2317,4.9261,7.4340,2.2317,4.9261,7.3927,2.2317,4.9261,7.4421,2.2317,4.9261,6.9592,2.2532,4.9261,7.0992,2.1896,4.9261,6.8714,2.2532,4.9261,6.8434,2.2532,4.9261,6.8417,2.2532,4.9261,7.3823,2.2317,4.9261,7.3900,2.2317,4.9261,7.4288,2.2317,4.9261,6.9005,2.2532,4.9261,6.9200,2.2532,4.9261,7.2271,2.2532,4.9261
10215,7.4629,2.2317,4.9261,7.3701,2.2317,4.9261,7.4302,2.2317,4.9261,7.3890,2.2317,4.9261,7.4384,2.2317,4.9261,7.1411,2.2532,4.9261,7.2829,2.1896,4.9261,7.0533,2.2532,4.9261,7.0253,2.2532,4.9261,7.0236,2.2532,4.9261,7.3785,2.2317,4.9261,7.3863,2.2317,4.9261,7.4250,2.2317,4.9261,7.0824,2.2532,4.9261,7.1019,2.2532,4.9261,7.4090,2.2532,4.9261
10216,7.4894,2.2317,4.9261,7.3967,2.2317,4.9261,7.4568,2.2317,4.9261,7.4155,2.2317,4.9261,7.4650,2.2317,4.9261,7.1919,2.2532,4.9261,7.3338,2.1896,4.9261,7.1041,2.2532,4.9261,7.0761,2.2532,4.9261,7.0744,2.2532,4.9261,7.4051,2.2317,4.9261,7.4129,2.2317,4.9261,7.4516,2.2317,4.9261,7.1333,2.2532,4.9261,7.1527,2.2532,4.9261,7.4599,2.2532,4.9261
10217,7.5063,2.2317,4.9261,7.4135,2.2317,4.9261,7.4736,2.2317,4.9261,7.4324,2.2317,4.9261,7.4818,2.2317,4.9261,7.2796,2.2532,4.9261,7.4215,2.1896,4.9261,7.1918,2.2532,4.9261,7.1639,2.2532,4.9261,7.1622,2.2532,4.9261,7.4219,2.2317,4.9261,7.4297,2.2317,4.9261,7.4684,2.2317,4.9261,7.2210,2.2532,4.9261,7.2405,2.2532,4.9261,7.5476,2.2532,4.9261
10218,7.6199,2.2317,4.9261,7.5271,2.2317,4.9261,7.5872,2.2317,4.9261,7.5460,2.2317,4.9261,7.5954,2.2317,4.9261,7.4119,2.2532,4.9261,7.5537,2.1896,4.9261,7.3240,2.2532,4.9261,7.2961,2.2532,4.9261,7.2944,2.2532,4.9261,7.5356,2.2317,4.9261,7.5433,2.2317,4.9261,7.5820,2.2317,4.9261,7.3532,2.2532,4.9261,7.3727,2.2532,4.9261,7.6798,2.2532,4.9261
10219,7.6201,2.2317,4.9261,7.5274,2.2317,4.9261,7.5875,2.2317,4.9261,7.5462,2.2317,4.9261,7.5957,2.2317,4.9261,7.4710,2.2532,4.9261,7.6129,2.1896,4.9261,7.3832,2.2532,4.9261,7.3552,2.2532,4.9261,7.3535,2.2532,4.9261,7.5358,2.2317,4.9261,7.5436,2.2317,4.9261,7.5823,2.2317,4.9261,7.4123,2.2532,4.9261,7.4318,2.2532,4.9261,7.7389,2.2532,4.9261
10220,7.6201,2.2317,4.9261,7.5273,2.2317,4.9261,7.5874,2.2317,4.9261,7.5462,2.2317,4.9261,7.5956,2.2317,4.9261,7.4651,2.2532,4.9261,7.6069,2.1896,4.9261,7.3772,2.2532,4.9261,7.3493,2.2532,4.9261,7.3476,2.2532,4.9261,7.5357,2.2317,4.9261,7.5435,2.2317,4.9261,7.5822,2.2317,4.9261,7.4064,2.2532,4.9261,7.4259,2.2532,4.9261,7.7330,2.2532,4.9261
10221,7.6341,2.2317,4.9261,7.5414,2.2317,4.9261,7.6015,2.2317,4.9261,7.5602,2.2317,4.9261,7.6097,2.2317,4.9261,7.4186,2.2532,4.9261,7.5581,2.1896,4.9261,7.3307,2.2532,4.9261,7.3028,2.2532,4.9261,7.3011,2.2532,4.9261,7.5498,2.2317,4.9261,7.5575,2.2317,4.9261,7.5963,2.2317,4.9261,7.3599,2.2532,4.9261,7.3794,2.2532,4.9261,7.6865,2.2532,4.9261
10222,7.5317,2.2317,4.9261,7.4389,2.2317,4.9261,7.4990,2.2317,4.9261,7.4578,2.2317,4.9261,7.5072,2.2317,4.9261,7.2804,2.2532,4.9261,7.4201,2.1896,4.9261,7.1926,2.2532,4.9261,7.1646,2.2532,4.9261,7.1629,2.2532,4.9261,7.4474,2.2317,4.9261,7.4551,2.2317,4.9261,7.4938,2.2317,4.9261,7.2217,2.2532,4.9261,7.2412,2.2532,4.9261,7.5483,2.2532,4.9261
