;,1,2,3,4,5,6,7,8,9,10,11,12,13.0000,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
;,CZ:,1,,CZ:,2,,CZ:,3,,CZ:,4,,CZ:,5,,CZ:,6,,CZ:,7,,CZ:,8,,CZ:,9,,CZ:,10,,CZ:,11,,CZ:,12,,CZ:,13,,CZ:,14,,CZ:,15,,CZ:,16,
;,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane,Elec,NatGas,Propane
; MoDaHr,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu,TDV/Btu
10118,5.6599,1.8977,3.7655,5.659,1.8977,3.7655,5.6591,1.8977,3.7655,5.6588,1.8977,3.7655,5.6580,1.8977,3.7655,5.4516,1.9188,3.7655,5.6845,1.8569,3.7655,5.4625,1.9188,3.7655,5.3979,1.9188,3.7655,5.3942,1.9188,3.7655,5.6581,1.8977,3.7655,5.658,1.8977,3.7655,5.659,1.8977,3.7655,5.3895,1.9188,3.7655,5.3975,1.9188,3.7655,5.3755,1.9188,3.7655
10119,5.6618,1.8977,3.7655,5.6609,1.8977,3.7655,5.661,1.8977,3.7655,5.6608,1.8977,3.7655,5.6599,1.8977,3.7655,5.6212,1.9188,3.7655,5.8538,1.8569,3.7655,5.6321,1.9188,3.7655,5.5675,1.9188,3.7655,5.5638,1.9188,3.7655,5.6601,1.8977,3.7655,5.6599,1.8977,3.7655,5.6609,1.8977,3.7655,5.5591,1.9188,3.7655,5.5671,1.9188,3.7655,5.5451,1.9188,3.7655
10120,5.6614,1.8977,3.7655,5.6605,1.8977,3.7655,5.6606,1.8977,3.7655,5.6604,1.8977,3.7655,5.6595,1.8977,3.7655,5.6167,1.9188,3.7655,5.8493,1.8569,3.7655,5.6276,1.9188,3.7655,5.563,1.9188,3.7655,5.5593,1.9188,3.7655,5.6597,1.8977,3.7655,5.6595,1.8977,3.7655,5.6605,1.8977,3.7655,5.5546,1.9188,3.7655,5.5626,1.9188,3.7655,5.5406,1.9188,3.7655
10121,5.6623,1.8977,3.7655,5.6614,1.8977,3.7655,5.6615,1.8977,3.7655,5.6612,1.8977,3.7655,5.6604,1.8977,3.7655,5.523,1.9188,3.7655,5.7557,1.8569,3.7655,5.5338,1.9188,3.7655,5.4692,1.9188,3.7655,5.4655,1.9188,3.7655,5.6605,1.8977,3.7655,5.6604,1.8977,3.7655,5.6613,1.8977,3.7655,5.4608,1.9188,3.7655,5.4688,1.9188,3.7655,5.4468,1.9188,3.7655
10122,5.6538,1.8977,3.7655,5.6529,1.8977,3.7655,5.6531,1.8977,3.7655,5.6528,1.8977,3.7655,5.6519,1.8977,3.7655,5.4055,1.9188,3.7655,5.6384,1.8569,3.7655,5.4163,1.9188,3.7655,5.3517,1.9188,3.7655,5.348,1.9188,3.7655,5.6521,1.8977,3.7655,5.6519,1.8977,3.7655,5.6529,1.8977,3.7655,5.3433,1.9188,3.7655,5.3513,1.9188,3.7655,5.3293,1.9188,3.7655
10123,5.6531,1.8977,3.7655,5.6522,1.8977,3.7655,5.6524,1.8977,3.7655,5.6521,1.8977,3.7655,5.6512,1.8977,3.7655,5.4098,1.9188,3.7655,5.6427,1.8569,3.7655,5.4206,1.9188,3.7655,5.356,1.9188,3.7655,5.3523,1.9188,3.7655,5.6514,1.8977,3.7655,5.6512,1.8977,3.7655,5.6522,1.8977,3.7655,5.3476,1.9188,3.7655,5.3557,1.9188,3.7655,5.3336,1.9188,3.7655
10124,5.4543,1.8977,3.7655,5.4533,1.8977,3.7655,5.4535,1.8977,3.7655,5.4532,1.8977,3.7655,5.4524,1.8977,3.7655,5.1948,1.9188,3.7655,5.4281,1.8569,3.7655,5.2057,1.9188,3.7655,5.1411,1.9188,3.7655,5.1374,1.9188,3.7655,5.4525,1.8977,3.7655,5.4524,1.8977,3.7655,5.4533,1.8977,3.7655,5.1327,1.9188,3.7655,5.1407,1.9188,3.7655,5.1187,1.9188,3.7655
10201,5.6338,1.8977,3.7655,5.6329,1.8977,3.7655,5.633,1.8977,3.7655,5.6328,1.8977,3.7655,5.6319,1.8977,3.7655,5.3604,1.9188,3.7655,5.5934,1.8569,3.7655,5.3712,1.9188,3.7655,5.3066,1.9188,3.7655,5.3029,1.9188,3.7655,5.6321,1.8977,3.7655,5.6319,1.8977,3.7655,5.6329,1.8977,3.7655,5.2982,1.9188,3.7655,5.3063,1.9188,3.7655,5.2842,1.9188,3.7655
10202,5.4197,1.8977,3.7655,5.4188,1.8977,3.7655,5.4189,1.8977,3.7655,5.4187,1.8977,3.7655,5.4178,1.8977,3.7655,5.1493,1.9188,3.7655,5.3827,1.8569,3.7655,5.1601,1.9188,3.7655,5.0955,1.9188,3.7655,5.0919,1.9188,3.7655,5.418,1.8977,3.7655,5.4178,1.8977,3.7655,5.4188,1.8977,3.7655,5.0871,1.9188,3.7655,5.0952,1.9188,3.7655,5.0731,1.9188,3.7655
10203,5.3607,1.8977,3.7655,5.3597,1.8977,3.7655,5.3599,1.8977,3.7655,5.3596,1.8977,3.7655,5.3588,1.8977,3.7655,5.0836,1.9188,3.7655,5.3171,1.8569,3.7655,5.0945,1.9188,3.7655,5.0299,1.9188,3.7655,5.0262,1.9188,3.7655,5.3589,1.8977,3.7655,5.3588,1.8977,3.7655,5.3597,1.8977,3.7655,5.0215,1.9188,3.7655,5.0295,1.9188,3.7655,5.0075,1.9188,3.7655
10204,5.349,1.8977,3.7655,5.348,1.8977,3.7655,5.3482,1.8977,3.7655,5.3479,1.8977,3.7655,5.3471,1.8977,3.7655,5.0185,1.9188,3.7655,5.2522,1.8569,3.7655,5.0294,1.9188,3.7655,4.9648,1.9188,3.7655,4.9611,1.9188,3.7655,5.3472,1.8977,3.7655,5.3471,1.8977,3.7655,5.348,1.8977,3.7655,4.9564,1.9188,3.7655,4.9644,1.9188,3.7655,4.9424,1.9188,3.7655
10205,5.38,1.8977,3.7655,5.379,1.8977,3.7655,5.3792,1.8977,3.7655,5.3789,1.8977,3.7655,5.3781,1.8977,3.7655,5.1007,1.9188,3.7655,5.3342,1.8569,3.7655,5.1116,1.9188,3.7655,5.0469,1.9188,3.7655,5.0433,1.9188,3.7655,5.3782,1.8977,3.7655,5.378,1.8977,3.7655,5.379,1.8977,3.7655,5.0385,1.9188,3.7655,5.0466,1.9188,3.7655,5.0245,1.9188,3.7655
