TABLE RetlLrgCECStd16090012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
Back_Storage_ReliefFan,BaseRelief Fan-3,VariableSpeedDrive,BaseAirSys7-3,Back_Storage Zone,10376.116,0,0.5,StaticPressure,1,5,InAirStream,0.895
Main_Entry_ReliefFan,BaseRelief Fan-4,VariableSpeedDrive,BaseAirSys7-4,Main_Entry Zone,9093.884,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Registers/Aisle_ReliefFan,BaseRelief Fan-5,VariableSpeedDrive,BaseAirSys7-5,Registers/Aisle Zone,15537.318,0,0.5,StaticPressure,1,5,InAirStream,0.895
Restroom_1_ReliefFan,BaseRelief Fan-6,VariableSpeedDrive,BaseAirSys7-6,Restroom_1 Zone,3189.034,0,0.4,StaticPressure,0.75,1,InAirStream,0.855
Restroom_2_ReliefFan,BaseRelief Fan-7,VariableSpeedDrive,BaseAirSys7-7,Restroom_2 Zone,3190.894,0,0.4,StaticPressure,0.75,1,InAirStream,0.855
Side_Entry_1_ReliefFan,BaseRelief Fan-8,VariableSpeedDrive,BaseAirSys7-8,Side_Entry_1 Zone,9285.913,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Side_Entry_2_ReliefFan,BaseRelief Fan-9,VariableSpeedDrive,BaseAirSys7-9,Side_Entry_2 Zone,9640.46,0,0.4,StaticPressure,0.75,3,InAirStream,0.895
Side_Shelving_East_ReliefFan,BaseRelief Fan-10,VariableSpeedDrive,BaseAirSys7-10,Side_Shelving_East Zone,16958.123,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
Side_Shelving_West_ReliefFan,BaseRelief Fan-11,VariableSpeedDrive,BaseAirSys7-11,Side_Shelving_West Zone,16887.168,0,0.5,StaticPressure,1,7.5,InAirStream,0.917
Side_Storage_1_ReliefFan,BaseRelief Fan-12,VariableSpeedDrive,BaseAirSys7-12,Side_Storage_1 Zone,10002.677,0,0.5,StaticPressure,1,5,InAirStream,0.895
Side_Storage_2_ReliefFan,BaseRelief Fan-13,VariableSpeedDrive,BaseAirSys7-13,Side_Storage_2 Zone,4679.065,0,0.4,StaticPressure,0.75,1.5,InAirStream,0.865
ENDTABLE,,,,,,,,,,,,
TABLE RetlLrgCECStd16090012OACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7 OACtrl,DifferentialDryBulb,BaseAirSys7,Integrated,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7 OACtrl-2,DifferentialDryBulb,BaseAirSys7-2,Integrated,,,,,,,,
Back_Storage_OACtrl,BaseSys7 OACtrl-3,DifferentialDryBulb,BaseAirSys7-3,Integrated,,,,,,,,
Main_Entry_OACtrl,BaseSys7 OACtrl-4,DifferentialDryBulb,BaseAirSys7-4,Integrated,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7 OACtrl-5,DifferentialDryBulb,BaseAirSys7-5,Integrated,,,,,,,,
Restroom_1_OACtrl,BaseSys7 OACtrl-6,DifferentialDryBulb,BaseAirSys7-6,Integrated,,,,,,,,
Restroom_2_OACtrl,BaseSys7 OACtrl-7,DifferentialDryBulb,BaseAirSys7-7,Integrated,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7 OACtrl-8,DifferentialDryBulb,BaseAirSys7-8,Integrated,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7 OACtrl-9,DifferentialDryBulb,BaseAirSys7-9,Integrated,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7 OACtrl-10,DifferentialDryBulb,BaseAirSys7-10,Integrated,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7 OACtrl-11,DifferentialDryBulb,BaseAirSys7-11,Integrated,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7 OACtrl-12,DifferentialDryBulb,BaseAirSys7-12,Integrated,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7 OACtrl-13,DifferentialDryBulb,BaseAirSys7-13,Integrated,,,,,,,,
ENDTABLE,,,,,,,,,,,,
